timestamp_utc,tz_offset,datetime,mrid,measurement,value,units,precision,port_num,sub_sensor_index,sensor_sn,sensor_name,error_flag,error_description,depth
1719957600,7200,2024-07-03 00:00:00+02:00,50509,Vapor Pressure,1.369, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719957300,7200,2024-07-02 23:55:00+02:00,50508,Vapor Pressure,1.362, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719957000,7200,2024-07-02 23:50:00+02:00,50507,Vapor Pressure,1.37, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719956700,7200,2024-07-02 23:45:00+02:00,50506,Vapor Pressure,1.378, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719956400,7200,2024-07-02 23:40:00+02:00,50505,Vapor Pressure,1.38, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719956100,7200,2024-07-02 23:35:00+02:00,50504,Vapor Pressure,1.382, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719955800,7200,2024-07-02 23:30:00+02:00,50503,Vapor Pressure,1.376, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719955500,7200,2024-07-02 23:25:00+02:00,50502,Vapor Pressure,1.375, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719955200,7200,2024-07-02 23:20:00+02:00,50501,Vapor Pressure,1.364, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719954900,7200,2024-07-02 23:15:00+02:00,50500,Vapor Pressure,1.345, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719954600,7200,2024-07-02 23:10:00+02:00,50499,Vapor Pressure,1.338, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719954300,7200,2024-07-02 23:05:00+02:00,50498,Vapor Pressure,1.346, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719954000,7200,2024-07-02 23:00:00+02:00,50497,Vapor Pressure,1.355, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719953700,7200,2024-07-02 22:55:00+02:00,50496,Vapor Pressure,1.36, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719953400,7200,2024-07-02 22:50:00+02:00,50495,Vapor Pressure,1.355, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719953100,7200,2024-07-02 22:45:00+02:00,50494,Vapor Pressure,1.368, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719952800,7200,2024-07-02 22:40:00+02:00,50493,Vapor Pressure,1.37, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719952500,7200,2024-07-02 22:35:00+02:00,50492,Vapor Pressure,1.354, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719952200,7200,2024-07-02 22:30:00+02:00,50491,Vapor Pressure,1.352, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719951900,7200,2024-07-02 22:25:00+02:00,50490,Vapor Pressure,1.348, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719951600,7200,2024-07-02 22:20:00+02:00,50489,Vapor Pressure,1.357, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719951300,7200,2024-07-02 22:15:00+02:00,50488,Vapor Pressure,1.349, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719951000,7200,2024-07-02 22:10:00+02:00,50487,Vapor Pressure,1.303, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719950700,7200,2024-07-02 22:05:00+02:00,50486,Vapor Pressure,1.286, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719950400,7200,2024-07-02 22:00:00+02:00,50485,Vapor Pressure,1.29, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719950100,7200,2024-07-02 21:55:00+02:00,50484,Vapor Pressure,1.301, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719949800,7200,2024-07-02 21:50:00+02:00,50483,Vapor Pressure,1.292, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719949500,7200,2024-07-02 21:45:00+02:00,50482,Vapor Pressure,1.265, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719949200,7200,2024-07-02 21:40:00+02:00,50481,Vapor Pressure,1.27, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719948900,7200,2024-07-02 21:35:00+02:00,50480,Vapor Pressure,1.27, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719948600,7200,2024-07-02 21:30:00+02:00,50479,Vapor Pressure,1.263, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719948300,7200,2024-07-02 21:25:00+02:00,50478,Vapor Pressure,1.267, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719948000,7200,2024-07-02 21:20:00+02:00,50477,Vapor Pressure,1.27, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719947700,7200,2024-07-02 21:15:00+02:00,50476,Vapor Pressure,1.274, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719947400,7200,2024-07-02 21:10:00+02:00,50475,Vapor Pressure,1.271, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719947100,7200,2024-07-02 21:05:00+02:00,50474,Vapor Pressure,1.269, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719946800,7200,2024-07-02 21:00:00+02:00,50473,Vapor Pressure,1.252, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719946500,7200,2024-07-02 20:55:00+02:00,50472,Vapor Pressure,1.234, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719946200,7200,2024-07-02 20:50:00+02:00,50471,Vapor Pressure,1.242, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
