timestamp_utc,tz_offset,datetime,mrid,measurement,value,units,precision,port_num,sub_sensor_index,sensor_sn,sensor_name,error_flag,error_description,depth
1719957600,7200,2024-07-03 00:00:00+02:00,50509,Wind Direction,171.0,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719957300,7200,2024-07-02 23:55:00+02:00,50508,Wind Direction,172.4,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719957000,7200,2024-07-02 23:50:00+02:00,50507,Wind Direction,148.3,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719956700,7200,2024-07-02 23:45:00+02:00,50506,Wind Direction,194.1,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719956400,7200,2024-07-02 23:40:00+02:00,50505,Wind Direction,197.7,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719956100,7200,2024-07-02 23:35:00+02:00,50504,Wind Direction,180.8,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719955800,7200,2024-07-02 23:30:00+02:00,50503,Wind Direction,200.6,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719955500,7200,2024-07-02 23:25:00+02:00,50502,Wind Direction,201.6,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719955200,7200,2024-07-02 23:20:00+02:00,50501,Wind Direction,192.9,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719954900,7200,2024-07-02 23:15:00+02:00,50500,Wind Direction,184.4,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719954600,7200,2024-07-02 23:10:00+02:00,50499,Wind Direction,204.2,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719954300,7200,2024-07-02 23:05:00+02:00,50498,Wind Direction,141.6,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719954000,7200,2024-07-02 23:00:00+02:00,50497,Wind Direction,160.1,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719953700,7200,2024-07-02 22:55:00+02:00,50496,Wind Direction,131.0,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719953400,7200,2024-07-02 22:50:00+02:00,50495,Wind Direction,114.2,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719953100,7200,2024-07-02 22:45:00+02:00,50494,Wind Direction,115.7,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719952800,7200,2024-07-02 22:40:00+02:00,50493,Wind Direction,146.1,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719952500,7200,2024-07-02 22:35:00+02:00,50492,Wind Direction,165.5,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719952200,7200,2024-07-02 22:30:00+02:00,50491,Wind Direction,171.4,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719951900,7200,2024-07-02 22:25:00+02:00,50490,Wind Direction,188.9,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719951600,7200,2024-07-02 22:20:00+02:00,50489,Wind Direction,185.8,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719951300,7200,2024-07-02 22:15:00+02:00,50488,Wind Direction,190.8,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719951000,7200,2024-07-02 22:10:00+02:00,50487,Wind Direction,185.3,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
