oxygen,health,dewpt,no2,h2s,Status,humidity,sound,temperature,sound_max,pm10,co,co2,DeviceID,pressure,performance,pm2_5,TypPS,pm1,humidity_abs,timestamp,tvoc,o3
"[20.922, 1.63]",333,"[19.05, 0.84]","[62.57, 29.1]","[1.63, 0.4]",OK,"[76.847, 5.0]","[34.93, 8.4]","[23.137, 0.53]","[43.8, 4.3]","[26.9, 12.7]","[1.0347, 0.1688]","[552.0999, 66.6]",2476110a610045cbe5f347a25c6eecb5,"[988.8499, 1.0]",618,"[24.9, 12.5]",2.1,"[17.2, 11.9]","[15.989, 0.82]",1725009675000,"[0, 0]","[31.97, 9.2]"
"[20.922, 1.63]",337,"[19.044, 0.84]","[62.55, 29.1]","[1.62, 0.4]",OK,"[76.794, 4.99]","[35.62, 8.0]","[23.142, 0.53]","[43.8, 4.3]","[26.3, 12.6]","[1.0328, 0.1685]","[551.0, 66.5]",2476110a610045cbe5f347a25c6eecb5,"[988.8499, 1.0]",619,"[24.3, 12.4]",2.1,"[17.1, 11.8]","[15.983, 0.82]",1725009707000,"[0, 0]","[31.96, 9.2]"
"[20.922, 1.63]",338,"[19.042, 0.84]","[62.54, 29.1]","[1.61, 0.4]",OK,"[76.776, 4.99]","[35.87, 8.0]","[23.144, 0.53]","[43.8, 4.3]","[26.3, 12.6]","[1.0324, 0.1685]","[550.9, 66.5]",2476110a610045cbe5f347a25c6eecb5,"[988.8499, 1.0]",619,"[24.3, 12.4]",2.1,"[17.0, 11.8]","[15.981, 0.82]",1725009715000,"[0, 0]","[31.96, 9.2]"
"[20.922, 1.63]",338,"[19.04, 0.84]","[62.53, 29.1]","[1.61, 0.4]",OK,"[76.758, 4.99]","[35.87, 7.9]","[23.146, 0.53]","[43.8, 4.3]","[26.3, 12.6]","[1.0318, 0.1684]","[550.7, 66.5]",2476110a610045cbe5f347a25c6eecb5,"[988.8499, 1.0]",619,"[24.4, 12.4]",2.1,"[17.0, 11.8]","[15.979, 0.82]",1725009723000,"[0, 0]","[31.96, 9.2]"
"[20.922, 1.63]",338,"[19.038, 0.84]","[62.52, 29.1]","[1.61, 0.4]",OK,"[76.741, 4.99]","[35.9, 7.9]","[23.148, 0.53]","[43.8, 4.3]","[26.3, 12.6]","[1.0315, 0.1684]","[550.6, 66.5]",2476110a610045cbe5f347a25c6eecb5,"[988.8499, 1.0]",619,"[24.3, 12.4]",2.1,"[17.0, 11.9]","[15.977, 0.82]",1725009731000,"[0, 0]","[31.96, 9.2]"
"[20.922, 1.63]",338,"[19.038, 0.84]","[62.52, 29.1]","[1.61, 0.4]",OK,"[76.741, 4.99]","[35.9, 7.9]","[23.148, 0.53]","[43.8, 4.3]","[26.3, 12.6]","[1.0315, 0.1684]","[550.6, 66.5]",2476110a610045cbe5f347a25c6eecb5,"[988.8499, 1.0]",619,"[24.3, 12.4]",2.1,"[17.0, 11.9]","[15.977, 0.82]",1725009731000,"[0, 0]","[31.96, 9.2]"
"[20.922, 1.63]",339,"[19.036, 0.84]","[62.51, 29.1]","[1.6, 0.4]",OK,"[76.724, 4.99]","[36.21, 7.8]","[23.15, 0.53]","[45.1, 4.0]","[26.2, 12.6]","[1.0311, 0.1683]","[550.5, 66.5]",2476110a610045cbe5f347a25c6eecb5,"[988.84, 1.0]",619,"[24.2, 12.4]",2.1,"[17.0, 11.9]","[15.975, 0.82]",1725009739000,"[0, 0]","[31.96, 9.2]"
"[20.922, 1.63]",340,"[19.034, 0.84]","[62.5, 29.1]","[1.6, 0.4]",OK,"[76.704, 4.99]","[36.54, 7.7]","[23.151, 0.53]","[46.0, 3.8]","[26.2, 12.6]","[1.0306, 0.1682]","[550.4, 66.5]",2476110a610045cbe5f347a25c6eecb5,"[988.84, 1.0]",619,"[24.3, 12.4]",2.1,"[17.0, 11.9]","[15.972, 0.82]",1725009747000,"[0, 0]","[31.96, 9.2]"
"[20.922, 1.63]",340,"[19.031, 0.84]","[62.49, 29.1]","[1.6, 0.4]",OK,"[76.684, 4.98]","[36.62, 7.6]","[23.153, 0.53]","[46.0, 3.8]","[26.3, 12.6]","[1.0303, 0.1682]","[550.2, 66.5]",2476110a610045cbe5f347a25c6eecb5,"[988.84, 1.0]",619,"[24.3, 12.4]",2.1,"[17.0, 11.9]","[15.97, 0.82]",1725009755000,"[0, 0]","[31.96, 9.2]"
"[20.922, 1.63]",340,"[19.031, 0.84]","[62.49, 29.1]","[1.6, 0.4]",OK,"[76.684, 4.98]","[36.62, 7.6]","[23.153, 0.53]","[46.0, 3.8]","[26.3, 12.6]","[1.0303, 0.1682]","[550.2, 66.5]",2476110a610045cbe5f347a25c6eecb5,"[988.84, 1.0]",619,"[24.3, 12.4]",2.1,"[17.0, 11.9]","[15.97, 0.82]",1725009755000,"[0, 0]","[31.96, 9.2]"
