timestamp_utc,sensor_sn,Air_Temperature,Atmospheric_Pressure,EC,Gust_Speed,Max_Air_Temperature,Max_Precip_Rate,Min_Air_Temperature,Precipitation,RH_Sensor_Temp,Solar_Radiation,Tilt_Angle,VPD,Vapor_Pressure,Wind_Direction,Wind_Speed
1725055200,A4100209,23.2,98.57,0.0,1.92,23.4,0.0,23.0,0.0,23.4,0.0,1.3,1.02,1.82,198.9,1.05
1725055500,A4100209,23.5,98.57,0.0,2.16,23.8,0.0,23.1,0.0,23.3,0.0,1.3,1.07,1.819,196.8,1.17
1725055800,A4100209,23.6,98.57,0.0,2.58,23.9,0.0,23.3,0.0,23.3,0.0,1.3,1.1,1.816,193.9,1.25
1725056100,A4100209,23.9,98.57,0.0,2.59,24.1,0.0,23.6,0.0,23.3,0.0,1.3,1.16,1.804,183.5,1.0
1725056400,A4100209,23.6,98.57,0.0,2.3,24.0,0.0,23.1,0.0,23.4,0.0,1.3,1.1,1.808,214.3,0.85
1725056700,A4100209,23.5,98.57,0.0,1.84,23.9,0.0,23.1,0.0,23.4,0.0,1.3,1.08,1.809,209.0,1.04
1725057000,A4100209,23.5,98.57,0.0,1.8,24.0,0.0,23.1,0.0,23.3,0.0,1.3,1.08,1.808,208.0,0.95
1725057300,A4100209,23.1,98.57,0.0,1.46,23.7,0.0,22.7,0.0,23.3,0.0,1.3,1.01,1.812,167.7,0.62
1725057600,A4100209,22.7,98.57,0.0,1.62,23.0,0.0,22.6,0.0,23.2,0.0,1.3,0.95,1.818,81.7,0.52
1725057900,A4100209,22.4,98.57,0.0,1.2,22.6,0.0,22.1,0.0,23.0,0.0,1.3,0.88,1.825,86.3,0.44
1725058200,A4100209,22.4,98.58,0.0,1.66,22.9,0.0,22.0,0.0,22.8,0.0,1.3,0.89,1.819,188.7,0.59
1725058500,A4100209,23.0,98.58,0.0,1.53,23.3,0.0,22.6,0.0,22.7,0.0,1.3,1.01,1.8,207.7,0.87
1725058800,A4100209,22.9,98.58,0.0,1.68,23.2,0.0,22.7,0.0,22.7,0.0,1.3,0.99,1.802,186.6,0.85
1725059100,A4100209,23.1,98.58,0.0,2.02,23.5,0.0,22.9,0.0,22.7,0.0,1.3,1.03,1.796,200.3,1.13
1725059400,A4100209,22.8,98.57,0.0,2.3,23.0,0.0,22.6,0.0,22.7,0.0,1.3,0.98,1.803,204.0,1.09
1725059700,A4100209,22.9,98.57,0.0,2.23,23.4,0.0,22.6,0.0,22.7,0.0,1.3,0.99,1.8,218.3,1.25
1725060000,A4100209,22.7,98.57,0.0,1.92,23.0,0.0,22.4,0.0,22.6,0.0,1.3,0.95,1.802,186.0,0.93
1725060300,A4100209,22.6,98.57,0.0,1.63,22.8,0.0,22.4,0.0,22.6,0.0,1.3,0.93,1.802,198.7,0.75
1725060600,A4100209,22.3,98.57,0.0,1.61,22.6,0.0,21.8,0.0,22.5,0.0,1.3,0.89,1.806,194.9,0.55
1725060900,A4100209,22.0,98.58,0.0,0.93,22.2,0.0,21.9,0.0,22.4,0.0,1.3,0.84,1.814,295.4,0.45
1725061200,A4100209,21.9,98.58,0.0,0.78,22.0,0.0,21.7,0.0,22.3,0.0,1.3,0.81,1.812,55.1,0.31
1725061500,A4100209,21.7,98.58,0.0,0.72,22.0,0.0,21.6,0.0,22.1,0.0,1.3,0.78,1.813,19.0,0.19
1725061800,A4100209,21.6,98.58,0.0,0.29,21.7,0.0,21.5,0.0,21.9,0.0,1.3,0.77,1.806,106.7,0.15
1725062100,A4100209,21.4,98.59,0.0,1.17,21.6,0.0,21.3,0.0,21.7,0.0,1.3,0.75,1.803,45.7,0.48
1725062400,A4100209,21.2,98.59,0.0,1.36,21.5,0.0,21.0,0.0,21.6,0.0,1.3,0.72,1.8,83.3,0.67
1725062700,A4100209,21.1,98.59,0.0,1.68,21.2,0.0,20.9,0.0,21.4,0.0,1.3,0.7,1.802,163.2,0.73
1725063000,A4100209,21.2,98.59,0.0,2.1,21.4,0.0,20.9,0.0,21.3,0.0,1.3,0.7,1.805,191.5,0.96
1725063300,A4100209,21.0,98.59,0.0,1.94,21.2,0.0,20.9,0.0,21.2,0.0,1.4,0.69,1.805,194.3,0.87
1725063600,A4100209,21.1,98.59,0.0,1.72,21.3,0.0,20.8,0.0,21.1,0.0,1.3,0.7,1.799,202.3,0.68
1725063900,A4100209,20.6,98.59,0.0,0.5,20.8,0.0,20.5,0.0,21.0,0.0,1.3,0.62,1.802,32.6,0.2
1725064200,A4100209,20.5,98.59,0.0,1.05,20.7,0.0,20.2,0.0,20.9,0.0,1.3,0.61,1.8,13.0,0.43
1725064500,A4100209,20.3,98.59,0.0,1.47,20.4,0.0,20.2,0.0,20.7,0.0,1.3,0.57,1.805,52.0,0.64
1725064800,A4100209,20.2,98.6,0.0,1.4,20.3,0.0,20.1,0.0,20.6,0.0,1.3,0.56,1.808,127.1,0.64
1725065100,A4100209,20.2,98.59,0.0,1.5,20.3,0.0,20.0,0.0,20.4,0.0,1.3,0.57,1.8,100.7,0.87
1725065400,A4100209,20.2,98.59,0.0,1.47,20.3,0.0,19.9,0.0,20.3,0.0,1.3,0.56,1.802,181.4,0.76
1725065700,A4100209,20.0,98.59,0.0,0.92,20.2,0.0,19.9,0.0,20.2,0.0,1.3,0.54,1.801,149.4,0.33
1725066000,A4100209,19.8,98.59,0.0,1.4,20.1,0.0,19.7,0.0,20.1,0.0,1.4,0.51,1.8,140.0,0.52
1725066300,A4100209,19.7,98.59,0.0,1.48,20.0,0.0,19.6,0.0,20.0,0.0,1.3,0.5,1.802,146.6,0.61
1725066600,A4100209,19.8,98.6,0.0,1.72,20.0,0.0,19.8,0.0,19.9,0.0,1.3,0.52,1.795,191.9,0.63
